"B03002_001" "B03002_002" "B03002_003" "B03002_004" "B03002_005" "B03002_006" "B03002_007" "B03002_008" "B03002_009" "B03002_010" "B03002_011" "B03002_012" "B03002_013" "B03002_014" "B03002_015" "B03002_016" "B03002_017" "B03002_018" "B03002_019" "B03002_020" "B03002_021"
"ZCTA5 01129" 7165 6120 4451 1086 0 446 0 0 137 11 126 1045 521 55 0 0 0 367 102 20 82
"ZCTA5 01151" 8244 5478 3854 1229 19 245 0 62 69 1 68 2766 1541 51 19 0 0 999 156 0 156
"ZCTA5 01199" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ZCTA5 01201" 46257 43952 40058 2361 55 493 21 32 932 11 921 2305 1592 26 11 0 0 293 383 168 215
"ZCTA5 01220" 8706 8544 8310 48 21 35 0 0 130 6 124 162 117 8 7 0 0 4 26 0 26
"ZCTA5 01222" 783 764 718 0 0 6 0 15 25 0 25 19 19 0 0 0 0 0 0 0 0
"ZCTA5 01223" 2358 2350 2258 9 0 41 0 0 42 6 36 8 6 0 0 0 0 1 1 1 0
"ZCTA5 01224" 249 249 196 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ZCTA5 01225" 3033 3021 2970 12 0 0 0 9 30 0 30 12 12 0 0 0 0 0 0 0 0
"ZCTA5 01226" 6971 6932 6799 31 0 102 0 0 0 0 0 39 24 0 0 0 0 8 7 0 7
"ZCTA5 01229" 178 178 178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ZCTA5 01230" 8697 8046 7365 225 4 155 0 175 122 8 114 651 528 0 0 0 0 0 123 39 84
"ZCTA5 01235" 2861 2856 2786 15 15 19 0 0 21 0 21 5 0 0 0 0 0 0 5 5 0
"ZCTA5 01236" 1323 1265 1197 17 0 0 0 0 51 51 0 58 43 0 15 0 0 0 0 0 0
"ZCTA5 01237" 2544 2517 2468 38 0 11 0 0 0 0 0 27 5 1 0 0 0 21 0 0 0
"ZCTA5 01238" 6209 6114 5998 6 0 109 0 0 1 0 1 95 28 0 0 0 0 67 0 0 0
"ZCTA5 01240" 4418 4294 4081 70 7 76 0 0 60 0 60 124 120 0 0 0 0 4 0 0 0
"ZCTA5 01242" 578 550 550 0 0 0 0 0 0 0 0 28 28 0 0 0 0 0 0 0 0
"ZCTA5 01243" 249 249 249 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ZCTA5 01244" 172 152 152 0 0 0 0 0 0 0 0 20 0 0 0 0 0 20 0 0 0
"ZCTA5 01245" 833 788 774 3 0 0 0 11 0 0 0 45 19 16 0 0 0 0 10 0 10
"ZCTA5 01247" 16213 15723 14682 492 93 46 52 0 358 31 327 490 316 17 0 0 0 102 55 44 11
"ZCTA5 01253" 584 573 558 5 0 0 0 0 10 0 10 11 7 0 0 0 0 0 4 4 0
"ZCTA5 01254" 1187 1170 1150 0 11 6 0 0 3 0 3 17 13 0 0 0 0 4 0 0 0
"ZCTA5 01255" 985 976 917 0 0 35 0 0 24 0 24 9 0 0 2 0 0 7 0 0 0
"ZCTA5 01256" 706 702 694 1 0 0 0 0 7 7 0 4 4 0 0 0 0 0 0 0 0
"ZCTA5 01257" 2138 2108 2007 4 0 90 0 0 7 0 7 30 12 0 0 0 0 18 0 0 0
"ZCTA5 01258" 262 259 255 4 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0
"ZCTA5 01259" 516 516 499 0 0 5 0 0 12 0 12 0 0 0 0 0 0 0 0 0 0
"ZCTA5 01260" 73 73 73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ZCTA5 01262" 1040 999 945 40 0 14 0 0 0 0 0 41 22 0 0 0 0 19 0 0 0
"ZCTA5 01264" 138 138 138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ZCTA5 01266" 1686 1653 1573 25 0 0 0 0 55 0 55 33 33 0 0 0 0 0 0 0 0
"ZCTA5 01267" 8035 7935 7410 81 59 287 0 0 98 0 98 100 69 0 0 0 0 31 0 0 0
